Small Unit Installation Postcode,Average Installation Size for Postcode (kW),Installations Quantity Total,SGU Rated Output In kW Total,AVERAGE SU Sizing in the NT (kW)
0,1.12,4,4.46,11.39
200,0.08,1,0.08,
800,25.49,118,3007.51,
801,27.71,10,277.098,
803,5.84,2,11.685,
804,5.22,15,78.31,
811,4.5,2,9,
813,12.22,7,85.549,
814,4.56,4,18.24,
821,22.33,7,156.303,
829,24.32,37,899.98,
831,4.33,9,38.98,
837,9.68,65,629.521,
838,8.11,133,1078.432,
839,24.12,29,699.35,
840,6.35,124,787.28,
845,8.22,79,649.296,
846,6.67,49,326.85,
847,11.79,24,283.005,
851,7.75,47,364.375,
853,26.49,2,52.97,
854,13.77,17,234.025,
860,7.04,146,1027.919,
861,5.67,24,136.115,
862,11.1,34,377.315,
871,7.1,58,411.82,
872,12.76,222,2832.412,
873,7.63,149,1136.719,
874,7.66,21,160.83,
875,6.83,154,1051.956,
880,10.4,23,239.201,
881,8.98,12,107.73,
885,25.72,30,771.64,
886,15.61,11,171.69,

Small Unit Installation Postcode,Previous Years (2001-2020) - Installations Quantity,Previous Years (2001-2020) - SGU Rated Output In kW,Jan 2021 - Installations Quantity,Jan 2021 - SGU Rated Output In kW,Feb 2021 - Installations Quantity,Feb 2021 - SGU Rated Output In kW,Mar 2021 - Installations Quantity,Mar 2021 - SGU Rated Output In kW,Apr 2021 - Installations Quantity,Apr 2021 - SGU Rated Output In kW,May 2021 - Installations Quantity,May 2021 - SGU Rated Output In kW,Jun 2021 - Installations Quantity,Jun 2021 - SGU Rated Output In kW,Jul 2021 - Installations Quantity,Jul 2021 - SGU Rated Output In kW,Aug 2021 - Installations Quantity,Aug 2021 - SGU Rated Output In kW,Sep 2021 - Installations Quantity,Sep 2021 - SGU Rated Output In kW,Oct 2021 - Installations Quantity,Oct 2021 - SGU Rated Output In kW,Nov 2021 - Installations Quantity,Nov 2021 - SGU Rated Output In kW,Dec 2021 - Installations Quantity,Dec 2021 - SGU Rated Output In kW,Jan 2022- Installations Quantity,Jan 2022 - SGU Rated Output In kW,Feb 2022- Installations Quantity,Feb 2022 - SGU Rated Output In kW,Mar 2022- Installations Quantity,Mar 2022 - SGU Rated Output In kW,Apr 2022- Installations Quantity,Apr 2022 - SGU Rated Output In kW,May 2022- Installations Quantity,May 2022 - SGU Rated Output In kW,June 2022- Installations Quantity,June 2022 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
0,4,4.46,1.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,4,4.46
200,1,0.08,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,1,0.08
800,106,2547.09,24.0291509433962,0,1,35.2,1,6.63,1,6.66,2,41.58,1,61.05,2,64.38,0,0,1,62.7,0,0,0,0,3,182.22,0,0,0,0,0,0,0,0,0,0,0,25.49,118,3007.51
801,8,234.858,29.35725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,42.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.71,10,277.098
803,2,11.685,5.8425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.84,2,11.685
804,15,78.31,5.22066666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.22,15,78.31
811,2,9,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,2,9
813,7,85.549,12.2212857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.22,7,85.549
814,3,13.06,4.35333333333333,0,1,5.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.56,4,18.24
821,7,156.303,22.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.33,7,156.303
829,34,872.38,25.6582352941176,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.32,37,899.98
831,9,38.98,4.33111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33,9,38.98
837,60,574.521,9.57535,0,0,0,0,0,1,9.25,1,9.24,1,14.8,0,0,0,0,0,0,0,0,1,12.58,0,0,0,0,0,0,0,0,0,0,1,9,0,9.68,65,629.521
838,118,901.642,7.64103389830508,0,1,34.65,0,0,1,9.1,1,9.25,1,6.6,1,9.24,1,9.25,1,9.1,1,23,1,11.1,1,10.36,0,0,0,0,1,6.66,2,16,2,22,0,8.11,133,1078.432
839,21,424.525,20.2154761904762,6.6,0,0,0,0,0,0,2,44.405,0,0,0,0,0,0,0,0,0,0,0,0,1,99.5,0,0,0,0,1,99.9,2,18,1,7,0,24.12,29,699.35
840,109,672.285,6.16775229357798,0,2,8.48,1,9.24,0,0,0,0,0,0,0,0,2,15.71,2,13.26,3,22.5,1,9.99,1,13.32,2,15.91,1,6.585,0,0,0,0,0,0,0,6.35,124,787.28
845,70,584.236,8.34622857142857,0,1,8.25,1,6.6,1,6.65,1,8.58,1,5.76,0,0,0,0,0,0,0,0,0,0,0,0,1,9.24,0,0,0,0,0,0,3,20,0,8.22,79,649.296
846,44,298.35,6.78068181818182,0,0,0,1,6.6,0,0,1,6.66,1,6.6,0,0,1,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,6.67,49,326.85
847,21,265.305,12.6335714285714,0,0,0,0,0,1,6.6,0,0,0,0,2,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.79,24,283.005
851,46,325.375,7.07336956521739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,0,0,0,7.75,47,364.375
853,1,2.65,2.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.49,2,52.97
854,13,159.195,12.2457692307692,0,0,0,2,46.45,0,0,0,0,0,0,0,0,0,0,1,8.88,1,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.77,17,234.025
860,120,697.059,5.808825,0,0,0,2,39.44,0,0,0,0,4,21.12,9,83.45,1,6.66,7,66.6,1,9.25,0,0,1,99.9,0,0,1,4.44,0,0,0,0,0,0,0,7.04,146,1027.919
861,21,121.595,5.7902380952381,0,0,0,0,0,0,0,0,0,3,14.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.67,24,136.115
862,33,366.59,11.1087878787879,0,0,0,0,0,0,0,1,10.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,34,377.315
871,57,407.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,58,411.82
872,169,1983.577,0,0,5,157.72,11,136.565,11,56.85,3,124.88,3,15.54,1,4.07,5,31.02,2,5.28,2,101.88,2,54.6,2,7.4,0,0,2,36.97,2,63.68,2,52,0,0,0,12.76,222,2832.412
873,132,989.069,1,9,1,6.63,0,0,1,6.66,3,19.98,0,0,0,0,0,0,0,0,1,12.64,2,25.58,6,47.36,0,0,0,0,1,13.14,1,7,0,0,0,7.63,149,1136.719
874,17,134.56,0,0,0,0,0,0,1,6.29,0,0,1,6.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.66,1,6.66,0,0,0,0,0,7.66,21,160.83
875,125,800.596,0,0,4,26.84,0,0,2,14.43,2,13.32,2,13.32,0,0,0,0,4,26.64,5,41.85,1,27.88,5,52.24,0,0,0,0,1,6.66,3,28,0,0,0,6.83,154,1051.956
880,23,239.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4,23,239.201
881,12,107.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.98,12,107.73
885,13,598.6,0,0,0,0,0,0,0,0,0,0,0,0,16,142.08,0,0,0,0,0,0,1,30.96,0,0,0,0,0,0,0,0,0,0,0,0,0,25.72,30,771.64
886,10,151.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,15.61,11,171.69