Acacia Larrakia,92,
Ali Curung,622,
Alpurrurulam,514,
Amanbidji,101,
Amoonguna,321,
Ampilatwatja,424,
Angurugu,972,
Areyonga,274,
Atitjere,216,
Barunga,361,
Belyuen,207,
Beswick,593,
Binjari,281,
Bulla,151,
Bulman,340,
Canteen Creek,253,
Daguragu,219,
Engawala,165,
Finke,188,
Galiwinku,2471,
Gapuwiyak,1019,
Gunbalanya,1371,
Gunyangara,183,
Haasts Bluff,173,
Hermannsburg,726,
Imangara,109,
Imanpa,211,
Jilkminggan,325,
Kalkarindji,393,
Kaltukatjara,344,
Kintore,528,
Kybrook Farm,77,
Lajamanu,748,
Laramba,293,
Maningrida,2679,
Manyallaluk,121,
Milikapiti,523,
Milingimbi,1262,
Milyakburra,204,
Minjilang,361,
Minyerri,568,
Mt Liebig,183,
Nauiyu,533,
Nganmarriyanga,445,
Ngukurr,1235,
Nturiya,123,
Numbulwar,804,
Nyirripi,242,
Papunya,485,
Peppimenarti,221,
Pigeon Hole,145,
Pirlangimpi,436,
Pmara Jutunta,227,
Ramingining,972,
Rittarangu,117,
Robinson River,304,
Santa Teresa,647,
Tara,66,
Titjikala,233,
Umbakumba,516,
Wadeye,2498,
Wallace Rockhole,80,
Warruwi,492,
Weemol,87,
Willowra,254,
Wilora,129,
Wurrumiyanga,1781,
Wutunugurra,240,
Yarralin,302,
Yirrkala,981,
Yuelamu,237,
Yuendumu,793,

Remote NT Community,Approx Population,Estimated Total Dwellings,Assumed Dwellings Participating in VPP,Estimated VPP Capacity (Based on approximate 5kW Average Install)
Acacia Larrakia,92,23,18,90
Ali Curung,622,155,124,620
Alpurrurulam,514,128,102,510
Amanbidji,101,25,20,100
Amoonguna,321,80,64,320
Ampilatwatja,424,106,84,420
Angurugu,972,243,194,970
Areyonga,274,68,54,270
Atitjere,216,54,43,215
Barunga,361,90,72,360
Belyuen,207,51,40,200
Beswick,593,148,118,590
Binjari,281,70,56,280
Bulla,151,37,29,145
Bulman,340,85,68,340
Canteen Creek,253,63,50,250
Daguragu,219,54,43,215
Engawala,165,41,32,160
Finke,188,47,37,185
Galiwinku,2471,617,493,2465
Gapuwiyak,1019,254,203,1015
Gunbalanya,1371,342,273,1365
Gunyangara,183,45,36,180
Haasts Bluff,173,43,34,170
Hermannsburg,726,181,144,720
Imangara,109,27,21,105
Imanpa,211,52,41,205
Jilkminggan,325,81,64,320
Kalkarindji,393,98,78,390
Kaltukatjara,344,86,68,340
Kintore,528,132,105,525
Kybrook Farm,77,19,15,75
Lajamanu,748,187,149,745
Laramba,293,73,58,290
Maningrida,2679,669,535,2675
Manyallaluk,121,30,24,120
Milikapiti,523,130,104,520
Milingimbi,1262,315,252,1260
Milyakburra,204,51,40,200
Minjilang,361,90,72,360
Minyerri,568,142,113,565
Mt Liebig,183,45,36,180
Nauiyu,533,133,106,530
Nganmarriyanga,445,111,88,440
Ngukurr,1235,308,246,1230
Nturiya,123,30,24,120
Numbulwar,804,201,160,800
Nyirripi,242,60,48,240
Papunya,485,121,96,480
Peppimenarti,221,55,44,220
Pigeon Hole,145,36,28,140
Pirlangimpi,436,109,87,435
Pmara Jutunta,227,56,44,220
Ramingining,972,243,194,970
Rittarangu,117,29,23,115
Robinson River,304,76,60,300
Santa Teresa,647,161,128,640
Tara,66,16,12,60
Titjikala,233,58,46,230
Umbakumba,516,129,103,515
Wadeye,2498,624,499,2495
Wallace Rockhole,80,20,16,80
Warruwi,492,123,98,490
Weemol,87,21,16,80
Willowra,254,63,50,250
Wilora,129,32,25,125
Wurrumiyanga,1781,445,356,1780
Wutunugurra,240,60,48,240
Yarralin,302,75,60,300
Yirrkala,981,245,196,980
Yuelamu,237,59,47,235
Yuendumu,793,198,158,790